"caminho","formato","objetivo","concurso","disciplina","total","válidas","inválidas","únicas","duplicadas","sem enunciado","sem resposta","sem alternativas","erro estrutura","erro parser","mock","oficial","autoral","extraída","importada"
"src/data/apostilas/direito-trabalho-avancado.js","JS","OAB","","Direito Constitucional","260","60","200","30","30","0","60","140","0","0","0","0","260","0","0"
"src/data/apostilas/direito-trabalho.js","JS","OAB","","Direito Constitucional","160","40","120","20","20","0","120","0","0","0","0","0","160","0","0"
"src/data/apostilas/direito-tributario-avancado.js","JS","OAB","","Direito Constitucional","260","64","196","32","32","0","60","136","0","0","0","0","260","0","0"
"src/data/apostilas/direito-tributario.js","JS","OAB","","Direito Constitucional","180","40","140","20","20","0","140","0","0","0","0","0","180","0","0"
"src/data/apostilas/direitos-humanos-avancado.js","JS","OAB","","Ética Profissional","260","40","220","20","20","0","40","180","0","0","0","0","260","0","0"
"src/data/apostilas/direitos-humanos.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/eca-avancado.js","JS","OAB","","Direito Constitucional","260","60","200","30","30","0","60","140","0","0","0","0","260","0","0"
"src/data/apostilas/eca.js","JS","OAB","","Direito Constitucional","180","40","140","20","20","0","140","0","0","0","0","0","180","0","0"
"src/data/apostilas/etica-profissional-oab.js","JS","OAB","","Direito Constitucional","180","40","140","20","20","0","140","0","0","0","0","180","180","0","0"
"src/data/apostilas/etica.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/filosofia-direito.js","JS","OAB","","Direito Constitucional","180","40","140","20","20","0","140","0","0","0","0","0","180","0","0"
"src/data/apostilas/filosofia-enem.js","JS","ENEM","","Ética Profissional","260","20","240","10","10","0","180","60","0","0","0","0","260","0","0"
"src/data/apostilas/fisica-enem.js","JS","ENEM","","","260","20","240","10","10","0","180","60","0","0","0","0","260","0","0"
"src/data/apostilas/flashcards-premium-disciplina.js","JS","OAB","","Ética Profissional","260","44","216","21","23","0","160","56","0","0","0","0","260","0","0"
"src/data/apostilas/geografia-enem.js","JS","ENEM","","","260","20","240","10","10","0","180","60","0","0","0","0","260","0","0"
"src/data/apostilas/historia-enem.js","JS","ENEM","","","260","20","240","10","10","0","180","60","0","0","0","0","260","0","0"
"src/data/apostilas/informatica-avancada.js","JS","OAB","","Ética Profissional","260","40","220","20","20","0","40","180","0","0","0","0","260","0","0"
"src/data/apostilas/informatica.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/legislacao-institucional-pmma.js","JS","OAB","","Direito Constitucional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
