"path","fileClass","contentType","isPedagogicalContent","extractionStatus","objectiveCanonical","institution","contestCanonical","position","banca","year","disciplineCanonical","subjectCanonical","interfaceConnection","hash","size","classificationConfidence","classificationEvidence"
"src/components/auth/LoginForm.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","db3c0eab066437f6c72fe88c9ec589dbe17e9f7449ff562dbd0ab5b48d6c8597","4387","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/auth/RegisterForm.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","0d87fa306095550818065b97c44650b75afd2ddd7a8271b347409bcce801e879","6503","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/AuthLayout.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","b16bf66af65f3ed784aba69975cfc13fda0346cf40ba34a9a834041eb95b4b64","3606","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/BrandLogo.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","6823f9de5a40a5c34d14935d7ad2c3a8d8e4f01d1941cf307ad646365a99387f","1242","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/DashboardPreview.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","6cad408dfb0b8d1d6c427c630889b8b75702d66293a1a1f4538c2ee0cc5e0b43","3957","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/FAQ.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","d1f8f27ba26c136b212fa2749ec4fe192afaa290084f6fc4f88e1b01b6356e89","2425","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/Features.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","1c504201a08467c89de23ba05ff92a88f66f8449e24030a81f699a126d5c2831","4380","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/Footer.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","2026","","","unknown","a6ea81c5a47d4e96a6bb3e711a9045eae1d1548fd614d1c5418f3ca72f62838a","1950","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/Hero.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","5a65371d0cb46527424ae2217becefcfb908a5d434809f361dc10704eb940f67","5326","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/HowItWorks.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","415f73f0e290ddac8140b6b5516d8f555fe6bcb3f683199cb7e9089b4a50e01b","2253","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/HtmlFrameViewer.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","09f7c42e59630e0fe06b472826dc2e3c8d43eb85b9b943907733ceb465b81d0b","3152","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/index.js","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","ab2055301e1729210e43f25009fa3206b41efdac53c7266eb1a0b988192cde28","415","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/Iridescence.css","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","2d9f1505e948ca32e727d86b1cbd39eeeb0063e1d831fb14f1f023775f25e27c","142","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/Iridescence.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","53127afc9096119addee48c87b9964eda4d8e5437c53cf78d9078f08c883b485","3787","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/kibo-ui/avatar-stack/index.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","d437232e3b2e62a4d308373e4f83511ca569a08918edd4f5b28262444d9a9380","773","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/AiPreview.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","bcd9c99f75402f1f6b18decd091141cdf2caea5cca006a91cef243d94cfb2467","3797","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/Carousel3DSection.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","366b50abd6296461a991ffcfab9faa066e084770037b370189cd70d480625504","2498","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/DashboardPreview.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","2026","","","unknown","3c92dccc90bb9eef626bfc3895990129c41f0e51e2b2077ccb79407d939ae657","5628","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/FAQ.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","800d4a072c379c96573f3cad0d9908da9749853b3a3a9fc90ff0694f7f7a2204","2050","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/FeaturesGrid.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","d9036e2faac09ae921d69fbb43330900d97e8acc284805a828ed6e598631bab4","2275","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/FlashcardsFlipStack.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","1a01ccc4d344572c55ab4f8f1420116d02b090b57d41b618e544fd62400dd575","5466","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/Footer.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","2026","","","unknown","b995030f0accfd62b62b71f76ac399f0f4699ccea1c33bdf85b820df0b387396","1187","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/Hero.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","002043a579fc88ac4e8080f3c73381dd1ad1ccee9c323523c39e96a560b8118b","9826","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/HeroVideoSection.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","44fbe1d6bbac2933349ef053f9d2750d46e46a95bd3aa7898259673584ada525","748","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/HowItWorks.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","8d2387db57de16df439416b10333d5d248e206880ed816d340a0ef31ec2a190f","1666","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/Pricing.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","5cd455b0399482f5fdc25b1bc034e8a054e6d58ea187f3c1d7da689305682065","3404","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/Stats.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","a7ec4f2e336b44b0a9d035211b36421b43069a9618416dfedb8ba72c4e488967","1713","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/StudyNotifications.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","9f05706daf39b24fabc1585e8cc2d73213dbac2fc93133906c8bc862c750db32","1522","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/Testimonials.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","2024","","","unknown","88a5f775a0f10ffe48e173a3109b68c95ee78fd5748b241a201793bbf31a34a0","4482","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/landing/TrustSection.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","Tribunais","","","","","","","","unknown","6743bf8f104a224f28273eb397d22ea9f6ec7c40f3532320e47564d15f46c16a","2081","média","source-code; arquivo técnico; termos de tribunais; sem disciplina confiável"
"src/components/Navbar.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","7e3a16e6408fd1daf5dfaf9acfd2c0e2467b987cddb99d80ae2d9bb5a05231ca","2399","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/payment/PaymentCheckout.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","a73da6e466c96b6c6021d95dfc99c5e84ed69fd22c370657589dacf33fcbe447","12246","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/PdfFrameViewer.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","def8bd610f27f989d13b0435b72637c3ff5f72c9a5c3ba4c35e2940ddcf63986","2507","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/Pricing.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","af8519cc84d70ccda975304f52bfeac67028bfa49db66d32d218e612e9f430e6","3625","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ShimmerCTA.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","dc0be9a68bcc42994a7d569ba58db976420c9e17bb2b65efff204a0fe71cc1c1","892","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/SlideArrowButton.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","258143caa7389e4b18e889666a460ec45357a8e5bc552c13a3a229a1b107e25c","756","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/SplashGate/SplashGate.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","118d6ea95727663a220ce421145a0e0d4b3ee7551253c264fe137836c3dc025c","2437","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/SplashScreen/SplashScreen.css","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","71b917da5f03f6481955b3726a2d46b56b26fb31ad4b692e26dd3d3c409689cb","4081","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/SplashScreen/SplashScreen.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","e3a4aa2412d48be64146f30a0c717fc65843d35d181d480fbd1b8fc8cce4e136","982","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/StudyCards.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","75e9d725cec091fec0a06b8b0e947eca4be2814579ff77377f98e977f8176726","2811","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/taf/ExercicioCard.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","22b7a45f182529cd86b41c6f0edcd78e5dc4d6841f02d5fe8b58e53698a5b973","6723","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ThemeSwitch.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","fcba3ff48f20779feebfccc0d371358c1fd0493c5f262b16d061cf50a60d1c86","542","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/TourButton.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","cb10d3d844764e76d87fcf3f5a43e77648b52f70a3d8767bf3507c9ef94dc2e2","1370","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
