"fonte","total","validos","unicos","duplicados","objetivo","disciplina","statusContrato","acao"
"src/data/apostilas/direito-processual-civil-avancado.js","130","35","112","0","","Direito Processual Civil","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-processual-civil.js","70","20","70","0","","Direito Processual Civil","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-processual-penal-avancado.js","70","0","43","0","","Direito Processual Penal","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-processual-penal-militar-avancado.js","70","0","43","0","","Direito Processual Penal Militar","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-processual-penal-militar.js","70","20","70","0","","Direito Processual Penal Militar","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-processual-penal.js","70","20","70","0","","Direito Processual Penal","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-processual-trabalho-avancado.js","130","32","112","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-processual-trabalho.js","70","20","70","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-trabalho-avancado.js","130","30","112","0","","Direito do Trabalho","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-trabalho.js","70","20","70","0","","Direito do Trabalho","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-tributario-avancado.js","130","32","112","0","","Direito Tributário","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direito-tributario.js","60","20","60","0","","Direito Tributário","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direitos-humanos-atividade-policial-casos-praticos.js","70","0","43","0","","Direitos Humanos","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/direitos-humanos-avancado.js","130","20","94","0","","Direitos Humanos","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
