"caminho","tipo","objetivo","disciplina","assunto","onda","mvp","acao","prioridade"
"storage/content/oab/28-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","28o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/29-exame/provas/caderno-de-provas-direito-administrativo-3ng1vl.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/29-exame/provas/caderno-de-provas-direito-constitucional-1lceft.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/29-exame/provas/caderno-de-provas-direito-empresarial-v7rzq9.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/29-exame/provas/caderno-de-provas-direito-penal-1au4t8.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/29-exame/provas/caderno-de-provas-direito-tributario-f8b41f.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/29-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","29o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/30-exame/provas/caderno-de-provas-direito-administrativo-1vyk4e.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/30-exame/provas/caderno-de-provas-direito-constitucional-1j4lun.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/30-exame/provas/caderno-de-provas-direito-empresarial-g6wvnn.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/30-exame/provas/caderno-de-provas-direito-penal-1x1q9s.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/30-exame/provas/caderno-de-provas-direito-tributario-9axzpg.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/30-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","30o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/31-exame/provas/caderno-de-provas-direito-administrativo-1i6edv.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/31-exame/provas/caderno-de-provas-direito-constitucional-1ely8n.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/31-exame/provas/caderno-de-provas-direito-penal-cwo9j3.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/31-exame/provas/caderno-de-provas-direito-tributario-1f97vb.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/31-exame/provas/caderno-de-provas-direitoempresarial-1prl0e.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/31-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","31o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/32-exame/provas/caderno-de-provas-direito-administrativo-qp9rwz.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/32-exame/provas/caderno-de-provas-direito-constitucional-1lzpq9.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/32-exame/provas/caderno-de-provas-direito-empresarial-1sy2qx.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/32-exame/provas/caderno-de-provas-direito-penal-vv5nam.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/32-exame/provas/caderno-de-provas-direito-tributario-5du0fk.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/32-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","32o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
