"fonte","formato","total","validos","unicos","duplicados","objetivo","disciplina","acao"
"src/data/apostilas/direito-processual-trabalho-avancado.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-processual-trabalho.js","","40","30","40","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-trabalho-avancado.js","","70","70","70","0","","Direito do Trabalho","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-trabalho.js","","40","30","40","0","","Direito do Trabalho","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-tributario-avancado.js","","70","70","70","0","","Direito Tributário","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direito-tributario.js","","40","30","40","0","","Direito Tributário","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direitos-humanos-atividade-policial-casos-praticos.js","","70","70","61","9","","Direitos Humanos","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direitos-humanos-avancado.js","","70","70","70","0","","Direitos Humanos","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/direitos-humanos.js","","40","30","40","0","","Direitos Humanos","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/eca-avancado.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/eca.js","","40","30","40","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/etica-profissional-oab.js","","40","30","40","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/etica.js","","40","30","40","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/filosofia-direito.js","","40","30","40","0","","Filosofia","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/filosofia-enem.js","","70","70","70","0","","Filosofia","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/fisica-enem.js","","70","70","70","0","","Física","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/flashcards-premium-disciplina.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/geografia-enem.js","","70","70","70","0","","Geografia","deduplicar por politica, sem exclusao automatica"
