"chaveLogica","provaPrincipal","gabaritos","variantes","questoesExtraidas","quarentena","acao"
"storage/content/oab/27-exame/","storage/content/oab/27-exame/provas/caderno-de-prova-tipo-1-n8lbvy.pdf","1","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/28-exame/","storage/content/oab/28-exame/provas/caderno-de-prova-tipo-1-5ejlci.pdf","1","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/29-exame/","storage/content/oab/29-exame/provas/caderno-de-prova-tipo-1-gajlkk.pdf","1","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/30-exame/","storage/content/oab/30-exame/provas/caderno-de-prova-tipo-1-1lsa72.pdf","1","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/31-exame/","storage/content/oab/31-exame/provas/caderno-de-prova-tipo-1-1ms0lm.pdf","1","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/32-exame/","storage/content/oab/32-exame/provas/caderno-de-prova-tipo-1-1myk9o.pdf","1","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/33-exame/","storage/content/oab/33-exame/provas/caderno-de-prova-tipo-1-18f7of.pdf","1","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/34-exame/","storage/content/oab/34-exame/provas/caderno-de-prova-tipo-1-1jguo5.pdf","1","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/35-exame/","storage/content/oab/35-exame/provas/caderno-de-prova-tipo-1-1rapti.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/36-exame/","storage/content/oab/36-exame/provas/caderno-de-prova-tipo-1-16vl03.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/37-exame/","storage/content/oab/37-exame/provas/caderno-de-prova-tipo-1-13eodq.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/38-exame/","storage/content/oab/38-exame/provas/caderno-de-prova-tipo-1-1nbviw.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/39-exame/","storage/content/oab/39-exame/provas/caderno-de-prova-tipo-1-1pymkz.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/40-exame/","storage/content/oab/40-exame/provas/caderno-de-prova-tipo-1-v2h0ss.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/41-exame/","storage/content/oab/41-exame/provas/caderno-de-prova-tipo-1-19epxk.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/42-exame/","storage/content/oab/42-exame/provas/caderno-de-prova-tipo-1-1l67c6.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/43-exame/","storage/content/oab/43-exame/provas/caderno-de-prova-tipo-1-wjxb32.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/44-exame/","storage/content/oab/44-exame/provas/caderno-de-prova-tipo-1-bmn0xq.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/45-exame/","storage/content/oab/45-exame/provas/caderno-de-prova-tipo-1-1e6sag.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/46-exame/","storage/content/oab/46-exame/provas/caderno-de-prova-tipo-1-1dfntz.pdf","2","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"storage/content/oab/7-exame/","storage/content/oab/7-exame/provas/caderno-de-prova-01-5noo95.pdf","1","","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
"material-","material-provas/fgv/provas PM/aluno_oficial_da_pmns101_tipo_1.pdf","15","1; 2; 3; 4","nao","nao","validar identificacao minima, banca, ano e vinculo gabarito/prova"
